Name,NetWorth,Country,Continent,Source,Continent_Rank,Rank,Age Range,Industry,,Age
Bulent Eczacibasi,1.9,Turkey,,"pharmaceuticals, diversified",,1664,70,Diversified,,71
Byju Raveendran and Divya Gokulnath,2.5,India,,education technology,,1249,30,Technology,,39
C. Dean Metropoulos,2.6,United States,,investments,,1205,70,Food & Beverage,,74
Cai Dongchen,2.6,China,,pharmaceuticals,,1205,60,Healthcare,,68
Cai Hao & family,1.4,China,,solar energy,,2141,50,Manufacturing,,50
Cai Hongbin,1.1,China,,pharmaceuticals,,2524,N/A,Healthcare,,N/A
Cai Kui,10.4,China,,real estate,,216,50,Real Estate,,58
Cai Mingtong,1.8,China,,electronic components,,1750,60,Technology,,69
Cameron Winklevoss,3,United States,,cryptocurrency,,1008,30,Finance & Investments,,39
Camilla de Godoy Bueno Grossi,3.1,Brazil,,medical labs,,986,40,Healthcare,,42
Candido Pinheiro Koren de Lima,3.7,Brazil,,"hospitals, health insurance",,807,70,Healthcare,,74
Candido Pinheiro Koren de Lima Junior,1.8,Brazil,,"hospitals, health insurance",,1750,50,Healthcare,,50
Cao Ji,2.9,China,,manufacturing,,1064,60,Manufacturing,,69
Cao Jianwei,1.1,China,,semiconductors,,2524,40,Manufacturing,,42
Cao Kejian,1.2,China,,air compressors,,2378,50,Manufacturing,,58
Cao Longxiang & family,2.3,China,,pharmaceuticals,,1362,60,Healthcare,,63
Cao Renxian,5.3,China,,photovoltaic equipment,,529,50,Energy,,52
Cao Xiaochun,1.3,China,,pharmaceuticals,,2263,50,Healthcare,,52
"Cargill MacMillan, III.",1.1,United States,,Cargill,,2524,60,Food & Beverage,,61
Carl Bennet,7.1,Sweden,,investments,,358,60,Finance & Investments,,69
Carl Cook,9.9,United States,,medical devices,,230,50,Healthcare,,58
Carl DeSantis,1.2,United States,,energy drink,,2378,80,Food & Beverage,,81
Carl Douglas,3,Sweden,,investments,,1008,50,Diversified,,59
Carl Ferdinand Oetker,2.8,Germany,,consumer goods,,1111,40,Fashion & Retail,,48
Carl Hansen,1.8,Canada,,biotech,,1750,40,Healthcare,,47
Carl Icahn,15.8,United States,,investments,,124,80,Finance & Investments,,85
Carl Thoma,1.1,United States,,investments,,2524,70,Finance & Investments,,72
Carlo Fidani,3.2,Canada,,real estate,,956,60,Real Estate,,66
Carlos Alberto Sicupira & family,8.7,Brazil,South America,beer,7,274,70,Food & Beverage,,73
Carlos Ardila Lülle,2.3,Colombia,,"soft drinks, diversified",,1362,90,Food & Beverage,,90
Carlos Hank Rhon,2.2,Mexico,,banking,,1444,70,Diversified,,73
